,wine,variety,country,points,price,taster,twitter handle
14,Mirassou 2012 Chardonnay (Central Coast),Chardonnay,US,87,12.0,Matt Kettmann,@mattkettmann
55,RustRidge 2010 Estate Bottled Chardonnay (Napa Valley),Chardonnay,US,85,30.0,,
56,Souverain 2010 Chardonnay (North Coast),Chardonnay,US,85,14.0,Virginie Boone,@vboone
65,Simonnet-Febvre 2015  Chablis,Chardonnay,France,86,24.0,Roger Voss,@vossroger
66,Vignerons des Terres Secrètes 2015  Mâcon-Milly Lamartine,Chardonnay,France,86,15.0,Roger Voss,@vossroger
70,Drumheller 2014 Chardonnay (Columbia Valley (WA)),Chardonnay,US,86,12.0,Sean P. Sullivan,@wawinereport
77,Yalumba 2016 Made With Organic Grapes Chardonnay (South Australia),Chardonnay,Australia,86,18.0,Joe Czerwinski,@JoeCz
103,Leyda 2015 Single Vineyard Falaris Hill Chardonnay (Leyda Valley),Chardonnay,Chile,87,18.0,Michael Schachner,@wineschach
115,Pull 2013 Chardonnay (Paso Robles),Chardonnay,US,87,18.0,Matt Kettmann,@mattkettmann
121,Matrix 2007 Stuhlmuller Vineyard Chardonnay (Alexander Valley),Chardonnay,US,92,36.0,,
179,La Chablisienne 2006 Les Vénérables Vieilles Vignes  (Chablis),Chardonnay,France,88,27.0,Roger Voss,@vossroger
180,Manzoni 2006 Lucia Highland Vineyard Chardonnay (Santa Lucia Highlands),Chardonnay,US,88,23.0,,
184,Anaba 2007 Chardonnay (Sonoma Coast),Chardonnay,US,88,35.0,,
189,Emiliana 2008 Natura Chardonnay (Casablanca Valley),Chardonnay,Chile,87,11.0,Michael Schachner,@wineschach
193,Bertrand Ambroise 2006  St.-Romain,Chardonnay,France,87,35.0,Roger Voss,@vossroger
205,J. Lohr 2015 October Night Chardonnay (Arroyo Seco),Chardonnay,US,90,25.0,Matt Kettmann,@mattkettmann
210,Eikendal 2014 Chardonnay (Western Cape),Chardonnay,South Africa,90,20.0,Lauren Buzzeo,@laurbuzz
220,Sixteen by Twenty 2014 Chardonnay (Sonoma Coast),Chardonnay,US,90,40.0,Virginie Boone,@vboone
225,Oldenburg 2013 Chardonnay (Stellenbosch),Chardonnay,South Africa,90,25.0,Lauren Buzzeo,@laurbuzz
242,Hayman & Hill 2007 Reserve Selection Chardonnay (Russian River Valley),Chardonnay,US,85,15.0,,
243,Hermann J. Wiemer 2002 Blanc de Blanc Chardonnay (Finger Lakes),Chardonnay,US,85,30.0,,
245,Finca Las Moras 2007 Reserve Chardonnay (San Juan),Chardonnay,Argentina,85,12.0,Michael Schachner,@wineschach
265,Jardin 2009 Nine Yards Chardonnay (Stellenbosch),Chardonnay,South Africa,89,40.0,Lauren Buzzeo,@laurbuzz
301,Buried Cane 2009 Whiteline No Oak Chardonnay (Columbia Valley (WA)),Chardonnay,US,87,14.0,Paul Gregutt,@paulgwine 
306,Cramele Recas 2009 Chardonnay (Recas),Chardonnay,Romania,87,7.0,Anna Lee C. Iijima,
327,De Martino 2007 Legado Reserva Chardonnay (Limarí Valley),Chardonnay,Chile,86,18.0,Michael Schachner,@wineschach
344,Viña Tarapacá 2015 Gran Reserva Chardonnay (Leyda Valley),Chardonnay,Chile,80,19.0,Michael Schachner,@wineschach
352,Rochioli 2014 South River Chardonnay (Russian River Valley),Chardonnay,US,96,68.0,Virginie Boone,@vboone
353,Louis Latour 2014 Le Montrachet  (Montrachet),Chardonnay,France,96,630.0,Roger Voss,@vossroger
355,Rochioli 2014 Sweetwater Chardonnay (Russian River Valley),Chardonnay,US,96,68.0,Virginie Boone,@vboone
359,Philippe Colin 2014 Les Chenevottes Premier Cru  (Chassagne-Montrachet),Chardonnay,France,95,110.0,Roger Voss,@vossroger
