,wine,variety,country,points,price,taster
23,Bianchi 2011 Signature Selection Merlot (Paso Robles),Merlot,US,87,22.0,Matt Kettmann
44,Sundance 2011 Merlot (Maule Valley),Merlot,Chile,86,9.0,Michael Schachner
87,Passaggio 2014 Blau Vineyards Merlot (Knights Valley),Merlot,US,86,55.0,Virginie Boone
168,Duckhorn 2012 Rector Creek Vineyard Merlot (Napa Valley),Merlot,US,91,95.0,Virginie Boone
188,Viña Bisquertt 2007 Casa La Joya Reserve Merlot (Colchagua Valley),Merlot,Chile,88,11.0,Michael Schachner
247,Work 2004 Reserve Merlot (Sonoma Mountain),Merlot,US,85,25.0,
318,Aresti 2007 Reserva Merlot (Curicó Valley),Merlot,Chile,86,18.0,Michael Schachner
380,Lapostolle 2002 Estate Bottled Merlot (Rapel Valley),Merlot,Chile,88,12.0,Michael Schachner
386,Merriam 2000 Windacre Vineyard Merlot (Russian River Valley),Merlot,US,88,34.0,
394,Undurraga 2001 Reserva Merlot (Maipo Valley),Merlot,Chile,87,12.0,Michael Schachner
421,Guardian 2013 Confidential Source Merlot (Columbia Valley (WA)),Merlot,US,89,30.0,Sean P. Sullivan
514,Cono Sur 2012 20 Barrels Limited Edition Peralillo Estate Merlot (Colchagua Valley),Merlot,Chile,91,35.0,Michael Schachner
582,Seven Falls 2013 Merlot (Wahluke Slope),Merlot,US,89,18.0,Sean P. Sullivan
618,Barlow 2009 Unfiltered Merlot (Calistoga),Merlot,US,87,35.0,
803,Efeste 2013 Upright Klipsun Vineyard Merlot (Red Mountain),Merlot,US,90,39.0,Sean P. Sullivan
817,La Playa 2012 Block Selection Reserve Block N. 10 Merlot (Colchagua Valley),Merlot,Chile,86,12.0,Michael Schachner
824,Stomping Ground 2010 Merlot (California),Merlot,US,86,10.0,Jim Gordon
827,Terrapura 2012 Merlot (Curicó Valley),Merlot,Chile,86,11.0,Michael Schachner
871,Herencia 2013 Merlot (Napa Valley),Merlot,US,90,42.0,Virginie Boone
1047,Irony 2004 Merlot (Napa Valley),Merlot,US,85,16.0,
1050,Little Black Dress 2006 Merlot (California),Merlot,US,85,10.0,
1116,Cookies & Cream 2010 Merlot (California),Merlot,US,90,10.0,Jim Gordon
1147,Barnard Griffin 2013 Merlot (Columbia Valley (WA)),Merlot,US,83,17.0,Sean P. Sullivan
1166,Wellington 2004 Estate Merlot (Sonoma Valley),Merlot,US,86,18.0,
1174,Rutini 2006 Trumpeter Merlot (Mendoza),Merlot,Argentina,86,12.0,Michael Schachner
1255,Guardian Peak 2007 Merlot (Stellenbosch),Merlot,South Africa,88,15.0,Susan Kostrzewa
1275,Napa Family Vineyards 2010 Merlot (Napa Valley),Merlot,US,84,10.0,
1439,Efeste 2010 Upright Klipsun Vineyard Merlot (Red Mountain),Merlot,US,92,39.0,Paul Gregutt
1485,Beringer 2004 Bancroft Ranch Vineyard Merlot (Napa Valley),Merlot,US,85,75.0,
1510,Happy Canyon Vineyard 2007 Barrack Brand Merlot (Santa Ynez Valley),Merlot,US,92,42.0,
1632,Vinadeis 2016 Le Val Merlot (Vin de France),Merlot,France,85,12.0,Roger Voss
1651,Aniello 2015 006 Riverside Estate Merlot (Patagonia),Merlot,Argentina,85,20.0,Michael Schachner
1671,Cliff Creek 2012 Sams Valley Vineyard Merlot (Southern Oregon),Merlot,US,85,25.0,Paul Gregutt
1696,Petra 2003 Quercegobbe Merlot (Toscana),Merlot,Italy,86,50.0,
1777,Château Donjon de Bruignac 2013 Premium  (Bordeaux Supérieur),Merlot,France,84,23.0,Roger Voss
1869,Castellare di Castellina 2009 Poggio ai Merli Merlot (Toscana),Merlot,Italy,93,75.0,
1924,Viña Bisquertt 2011 La Joya Gran Reserva Merlot (Colchagua Valley),Merlot,Chile,87,15.0,Michael Schachner
1926,Walla Walla Vintners 2010 Merlot (Walla Walla Valley (WA)),Merlot,US,87,28.0,Paul Gregutt
1942,Hawks View 2010 Merlot (Washington),Merlot,US,87,40.0,Paul Gregutt
1958,Stephanie 2008 Merlot (Napa Valley),Merlot,US,88,40.0,
2116,Firestone 2008 Merlot (Santa Ynez Valley),Merlot,US,88,20.0,
2127,Martin Ray 2010 Reserve Merlot (Oak Knoll District),Merlot,US,88,25.0,
2128,Obelisco Estate 2009 Reserve Merlot (Red Mountain),Merlot,US,88,45.0,Paul Gregutt
2152,Grayson 2015 Lot 6 Merlot (California),Merlot,US,84,11.0,Jim Gordon
2222,Columbia Crest 2013 Grand Estates Merlot (Columbia Valley (WA)),Merlot,US,88,12.0,Sean P. Sullivan
2308,Crane Brothers 2005 Crane Ranch Vineyard Merlot (Napa Valley),Merlot,US,90,30.0,
2340,Sagelands 2013 Merlot (Columbia Valley (WA)),Merlot,US,85,10.0,Sean P. Sullivan
2348,Canoe Ridge 2013 The Expedition Merlot (Horse Heaven Hills),Merlot,US,85,15.0,Sean P. Sullivan
2352,Jefferson Vineyards 2008 Reserve Merlot (Monticello),Merlot,US,88,35.0,
2433,Lomas del Valle 2011 Coastal Cool Climate Merlot (Casablanca Valley),Merlot,Chile,85,14.0,Michael Schachner
2455,14 Hands 2011 The Reserve Merlot (Horse Heaven Hills),Merlot,US,90,30.0,Sean P. Sullivan
2482,Airfield Estates 2012 Merlot (Yakima Valley),Merlot,US,88,25.0,Sean P. Sullivan
2527,Matanzas Creek 2012 Merlot (Sonoma County),Merlot,US,89,28.0,Virginie Boone
2557,Jason-Stephens 2010 Estate Merlot (Santa Clara Valley),Merlot,US,89,24.0,Matt Kettmann
2575,Burrell School Vineyards 2011 Honor Roll Estate Reserve Merlot (Santa Cruz Mountains),Merlot,US,89,32.0,Matt Kettmann
2593,Gamache 2009 Merlot (Columbia Valley (WA)),Merlot,US,90,25.0,Paul Gregutt
2632,Avignonesi 2007 Desiderio Merlot (Cortona),Merlot,Italy,90,57.0,
2649,O•S Winery 2009 The Tusk Elephant Mountain Vineyard Merlot (Yakima Valley),Merlot,US,89,50.0,Paul Gregutt
2694,Undurraga 2001 Reserva Merlot (Maipo Valley),Merlot,Chile,87,12.0,Michael Schachner
