,wine,variety,country,points,price,taster
4,Sweet Cheeks 2012 Vintner's Reserve Wild Child Block Pinot Noir (Willamette Valley),Pinot Noir,US,87,65.0,Paul Gregutt
21,Acrobat 2013 Pinot Noir (Oregon),Pinot Noir,US,87,20.0,Paul Gregutt
25,Castello di Amorosa 2011 King Ridge Vineyard Pinot Noir (Sonoma Coast),Pinot Noir,US,87,69.0,Virginie Boone
35,Erath 2010 Hyland Pinot Noir (McMinnville),Pinot Noir,US,86,50.0,Paul Gregutt
41,Hawkins Cellars 2009 Pinot Noir (Willamette Valley),Pinot Noir,US,86,22.0,Paul Gregutt
58,Tres Palacios 2011 Reserve Pinot Noir (Maipo Valley),Pinot Noir,Chile,85,13.0,Michael Schachner
78,Z'IVO 2015 Rosé of Pinot Noir (Eola-Amity Hills),Pinot Noir,US,86,25.0,Paul Gregutt
145,Testarossa 2013 Guidotti Vineyard Pinot Noir (Santa Lucia Highlands),Pinot Noir,US,91,64.0,Matt Kettmann
152,Albatross Ridge 2012 Estate Reserve Pinot Noir (Carmel Valley),Pinot Noir,US,91,55.0,Matt Kettmann
169,Dutton-Goldfield 2014 Dutton Ranch Pinot Noir (Russian River Valley),Pinot Noir,US,91,44.0,Virginie Boone
173,Le Cadeau 2014 Pinot Noir (Willamette Valley),Pinot Noir,US,91,38.0,Paul Gregutt
181,McIntyre Vineyards 2006 Mission Ranch Pinot Noir (Arroyo Seco),Pinot Noir,US,88,36.0,
186,Harrington 2006 Wiley Vineyard Pinot Noir (Anderson Valley),Pinot Noir,US,88,40.0,
227,Wagner 2006 Grace House Pinot Noir (Finger Lakes),Pinot Noir,US,85,15.0,
233,Silvan Ridge 2006 Reserve Pinot Noir (Willamette Valley),Pinot Noir,US,85,28.0,Paul Gregutt
248,Amity 2006 Estate Single Vineyard Pinot Noir (Willamette Valley),Pinot Noir,US,85,45.0,Paul Gregutt
251,Cherry Hill 2006 Papillon Estate Pinot Noir (Willamette Valley),Pinot Noir,US,85,22.0,Paul Gregutt
255,Esterlina 2009 Reserva Pinot Noir (Cole Ranch),Pinot Noir,US,89,55.0,Virginie Boone
260,Willamette Valley Vineyards 2009 Estate Pinot Noir (Willamette Valley),Pinot Noir,US,89,40.0,Paul Gregutt
263,Byron 2009 Monument Pinot Noir (Santa Maria Valley),Pinot Noir,US,89,60.0,
278,Erath 2009 Bishop Creek Pinot Noir,Pinot Noir,US,89,50.0,Paul Gregutt
281,Cambria 2011 Bench Break Vineyard Pinot Noir (Santa Maria Valley),Pinot Noir,US,92,34.0,
283,J. Christopher 2011 Bella Vida Vineyard Unfiltered Pinot Noir (Dundee Hills),Pinot Noir,US,92,52.0,Paul Gregutt
286,Talley 2011 Rincon Vineyard Pinot Noir (Arroyo Grande Valley),Pinot Noir,US,92,60.0,
307,Domaine Bertagna 2009 Les Dames Huguettes  (Côte de Nuits-Villages),Pinot Noir,France,87,30.0,Roger Voss
336,Koyle 2015 Costa Pinot Noir (Colchagua Costa),Pinot Noir,Chile,83,35.0,Michael Schachner
343,Pura 8 2010 Grand Reserve Pinot Noir (Rapel Valley),Pinot Noir,Chile,81,20.0,Michael Schachner
357,Château de la Tour 2013 Vieilles Vignes  (Clos de Vougeot),Pinot Noir,France,95,350.0,Roger Voss
364,Winderlea 2014 Weber Vineyard Pinot Noir (Dundee Hills),Pinot Noir,US,95,48.0,Paul Gregutt
388,Kynsi 1999 Paragon Vineyard Pinot Noir (Edna Valley),Pinot Noir,US,88,25.0,Roger Voss
