,Wine,Variety,Country,Points,Price,Taster
20,Quiévremont 2012 Vin de Maison Red (Virginia),Red Blend,US,87,23.0,Alexander Peartree
28,Terre di Giurfo 2011 Mascaria Barricato  (Cerasuolo di Vittoria),Red Blend,Italy,87,17.0,Kerin O’Keefe
31,Duca di Salaparuta 2010 Calanìca Nero d'Avola-Merlot Red (Sicilia),Red Blend,Italy,86,,
33,Envolve 2010 Puma Springs Vineyard Red (Dry Creek Valley),Red Blend,US,86,50.0,
45,Tarara 2010 #SocialSecret Red (Virginia),Red Blend,US,86,40.0,
50,Viticultori Associati Canicatti 2008 Scialo Red (Sicilia),Red Blend,Italy,86,,
54,Corvo 2010 Rosso Red (Sicilia),Red Blend,Italy,85,,
68,Cocobon 2014 Red (California),Red Blend,US,86,12.0,Jim Gordon
90,Ferrari-Carano 2014 Siena Red (Sonoma County),Red Blend,US,88,23.0,Virginie Boone
104,Madonna Alta 2014 Nativo Red (Toscana),Red Blend,Italy,87,16.0,Kerin O’Keefe
106,Marchesi de' Frescobaldi 2014 Castiglioni Red (Toscana),Red Blend,Italy,87,30.0,Kerin O’Keefe
109,Ornellaia 2014 Le Volte Red (Toscana),Red Blend,Italy,87,30.0,Kerin O’Keefe
112,Podere Ciona 2014 Semifonte Red (Toscana),Red Blend,Italy,87,15.0,Kerin O’Keefe
118,Tenuta Forconi 2013 Toscano Red (Toscana),Red Blend,Italy,87,80.0,Kerin O’Keefe
161,Chronic Cellars 2013 Mr. Nibbles Red (Paso Robles),Red Blend,US,91,35.0,Matt Kettmann
164,Conde de Velázquez 2012 Condesa Real Premium Blend Red (Aconcagua Valley),Red Blend,Chile,91,29.0,Michael Schachner
176,TerraMater 2006 Unusual Cabernet-Shiraz-Zinfandel Red (Maipo Valley),Red Blend,Chile,88,50.0,Michael Schachner
187,Abbazia Santa Anastasia 2003 Montenero Red (Sicilia),Red Blend,Italy,88,48.0,
190,Fattoria Alois 2007 Campole Red (Campania),Red Blend,Italy,87,26.0,
192,Aldegheri 2003 Le Pietre Santambrogio Red (Rosso del Veronese),Red Blend,Italy,87,20.0,
213,MCV 2014 1105 Red (Paso Robles),Red Blend,US,90,48.0,Matt Kettmann
229,Benessere 2005 Costa Del Sol Red (Napa Valley),Red Blend,US,85,18.0,
244,J. & F. Lurton 2007 Herederos de François Lurton Villafrance de Duero Red (Vino de la Tierra de Castilla y León),Red Blend,Spain,85,13.0,Michael Schachner
257,Graham Beck 2007 The William Red (Coastal Region),Red Blend,South Africa,89,18.0,Lauren Buzzeo
261,Algodon 2008 Estate Blend Gran Reserva Red,Red Blend,Argentina,89,37.0,Michael Schachner
262,Beaver Creek 2008 Fairytale Red (Napa Valley),Red Blend,US,89,39.0,Virginie Boone
266,Kaiken 2008 Corte Malbec-Bonarda-Petit Verdot Red (Mendoza),Red Blend,Argentina,89,14.0,Michael Schachner
273,O. Fournier 2007 B Crux Red (Uco Valley),Red Blend,Argentina,89,19.0,Michael Schachner
282,I Giusti e Zanza 2009 Dulcamara Red (Toscana),Red Blend,Italy,92,41.0,Kerin O’Keefe
299,Attilio Ghisolfi 2007 Pinay Red (Langhe),Red Blend,Italy,87,,
