,wine,variety,country,points,price,taster
4,Sweet Cheeks 2012 Vintner's Reserve Wild Child Block Pinot Noir (Willamette Valley),Pinot Noir,US,87,65.0,Paul Gregutt
20,Quiévremont 2012 Vin de Maison Red (Virginia),Red Blend,US,87,23.0,Alexander Peartree
21,Acrobat 2013 Pinot Noir (Oregon),Pinot Noir,US,87,20.0,Paul Gregutt
23,Bianchi 2011 Signature Selection Merlot (Paso Robles),Merlot,US,87,22.0,Matt Kettmann
25,Castello di Amorosa 2011 King Ridge Vineyard Pinot Noir (Sonoma Coast),Pinot Noir,US,87,69.0,Virginie Boone
28,Terre di Giurfo 2011 Mascaria Barricato  (Cerasuolo di Vittoria),Red Blend,Italy,87,17.0,Kerin O’Keefe
31,Duca di Salaparuta 2010 Calanìca Nero d'Avola-Merlot Red (Sicilia),Red Blend,Italy,86,,
33,Envolve 2010 Puma Springs Vineyard Red (Dry Creek Valley),Red Blend,US,86,50.0,
35,Erath 2010 Hyland Pinot Noir (McMinnville),Pinot Noir,US,86,50.0,Paul Gregutt
41,Hawkins Cellars 2009 Pinot Noir (Willamette Valley),Pinot Noir,US,86,22.0,Paul Gregutt
44,Sundance 2011 Merlot (Maule Valley),Merlot,Chile,86,9.0,Michael Schachner
45,Tarara 2010 #SocialSecret Red (Virginia),Red Blend,US,86,40.0,
50,Viticultori Associati Canicatti 2008 Scialo Red (Sicilia),Red Blend,Italy,86,,
54,Corvo 2010 Rosso Red (Sicilia),Red Blend,Italy,85,,
58,Tres Palacios 2011 Reserve Pinot Noir (Maipo Valley),Pinot Noir,Chile,85,13.0,Michael Schachner
61,Podere dal Nespoli 2015 Prugneto Sangiovese (Romagna),Sangiovese,Italy,86,17.0,Kerin O’Keefe
68,Cocobon 2014 Red (California),Red Blend,US,86,12.0,Jim Gordon
78,Z'IVO 2015 Rosé of Pinot Noir (Eola-Amity Hills),Pinot Noir,US,86,25.0,Paul Gregutt
87,Passaggio 2014 Blau Vineyards Merlot (Knights Valley),Merlot,US,86,55.0,Virginie Boone
90,Ferrari-Carano 2014 Siena Red (Sonoma County),Red Blend,US,88,23.0,Virginie Boone
98,Serpaia di Endrizzi 2010 Dono Riserva  (Morellino di Scansano),Sangiovese,Italy,88,30.0,Kerin O’Keefe
104,Madonna Alta 2014 Nativo Red (Toscana),Red Blend,Italy,87,16.0,Kerin O’Keefe
106,Marchesi de' Frescobaldi 2014 Castiglioni Red (Toscana),Red Blend,Italy,87,30.0,Kerin O’Keefe
109,Ornellaia 2014 Le Volte Red (Toscana),Red Blend,Italy,87,30.0,Kerin O’Keefe
112,Podere Ciona 2014 Semifonte Red (Toscana),Red Blend,Italy,87,15.0,Kerin O’Keefe
118,Tenuta Forconi 2013 Toscano Red (Toscana),Red Blend,Italy,87,80.0,Kerin O’Keefe
145,Testarossa 2013 Guidotti Vineyard Pinot Noir (Santa Lucia Highlands),Pinot Noir,US,91,64.0,Matt Kettmann
152,Albatross Ridge 2012 Estate Reserve Pinot Noir (Carmel Valley),Pinot Noir,US,91,55.0,Matt Kettmann
158,Castello di Gabbiano 2012 Bellezza Gran Selezione  (Chianti Classico),Sangiovese,Italy,91,38.0,Kerin O’Keefe
159,Castello Romitorio 2011 Filo di Seta  (Brunello di Montalcino),Sangiovese,Italy,91,,Kerin O’Keefe
161,Chronic Cellars 2013 Mr. Nibbles Red (Paso Robles),Red Blend,US,91,35.0,Matt Kettmann
164,Conde de Velázquez 2012 Condesa Real Premium Blend Red (Aconcagua Valley),Red Blend,Chile,91,29.0,Michael Schachner
168,Duckhorn 2012 Rector Creek Vineyard Merlot (Napa Valley),Merlot,US,91,95.0,Virginie Boone
169,Dutton-Goldfield 2014 Dutton Ranch Pinot Noir (Russian River Valley),Pinot Noir,US,91,44.0,Virginie Boone
173,Le Cadeau 2014 Pinot Noir (Willamette Valley),Pinot Noir,US,91,38.0,Paul Gregutt
176,TerraMater 2006 Unusual Cabernet-Shiraz-Zinfandel Red (Maipo Valley),Red Blend,Chile,88,50.0,Michael Schachner
