,wine,variety,country,points,price,taster
3,St. Julian 2013 Reserve Late Harvest Riesling (Lake Michigan Shore),Riesling,US,87,13.0,Alexander Peartree
15,Richard Böcking 2013 Devon Riesling (Mosel),Riesling,Germany,87,24.0,Anna Lee C. Iijima
47,The White Knight 2011 Riesling (Lake County),Riesling,US,86,13.0,
76,Schmitt Söhne 2015 Riesling (Rheinhessen),Riesling,Germany,86,9.0,Anna Lee C. Iijima
85,P.J. Valckenberg 2015 Undone Dry Riesling (Rheinhessen),Riesling,Germany,86,10.0,Anna Lee C. Iijima
97,Heron Hill 2015 Ingle Vineyard Riesling (Finger Lakes),Riesling,US,88,20.0,Anna Lee C. Iijima
101,Lamoreaux Landing 2014 Red Oak Vineyard Riesling (Finger Lakes),Riesling,US,87,20.0,Anna Lee C. Iijima
102,Lamoreaux Landing 2014 Yellow Dog Vineyard Riesling (Finger Lakes),Riesling,US,87,20.0,Anna Lee C. Iijima
119,Dopff & Irion 2004 Schoenenbourg Grand Cru Vendanges Tardives Riesling (Alsace),Riesling,France,92,80.0,
142,Banyan 2007 Riesling (Santa Lucia Highlands),Riesling,US,90,17.0,
148,Weingut Liebfrauenstift 2014 Dry Riesling (Rheinhessen),Riesling,Germany,91,16.0,Anna Lee C. Iijima
156,Carl Graff 2014 Graacher Himmelreich Spätlese Riesling (Mosel),Riesling,Germany,91,14.0,Anna Lee C. Iijima
162,Claiborne & Churchill 2014 Claiborne Vineyard Riesling (Edna Valley),Riesling,US,91,28.0,Matt Kettmann
170,Fritz Haag 2014 Brauneberger Feinherb Riesling (Mosel),Riesling,Germany,91,30.0,Anna Lee C. Iijima
171,Fritz Haag 2014 Riesling (Mosel),Riesling,Germany,91,22.0,Anna Lee C. Iijima
228,Treleaven 2006 Semi-Dry Riesling (Cayuga Lake),Riesling,US,85,14.0,
285,Salomon-Undhof 2011 Steiner Kögl Erste Lage Riesling (Kremstal),Riesling,Austria,92,,Roger Voss
347,Robert Weil 2014 Kiedrich Gräfenberg Trockenbeerenauslese Riesling (Rheingau),Riesling,Germany,97,775.0,Anna Lee C. Iijima
354,Robert Weil 2014 Kiedrich Gräfenberg Beerenauslese Riesling (Rheingau),Riesling,Germany,96,365.0,Anna Lee C. Iijima
358,Weingut Hans Bausch 2011 Hattenheimer Hassel Auslese Riesling (Rheingau),Riesling,Germany,95,66.0,Anna Lee C. Iijima
415,Red Newt Cellars 2007 Riesling (Finger Lakes),Riesling,US,85,14.0,Susan Kostrzewa
432,Pomum 2014 Upland Vineyard Riesling (Snipes Mountain),Riesling,US,89,16.0,Sean P. Sullivan
464,Wittmann 2011 Westhofen Morstein GG Trocken Riesling (Rheinhessen),Riesling,Germany,92,115.0,Anna Lee C. Iijima
468,Dr. Loosen 2011 Ürziger Würzgarten Alte Reben GG Trocken Riesling (Mosel),Riesling,Germany,92,42.0,Anna Lee C. Iijima
469,Dr. Loosen 2011 Wehlener Sonnenuhr Kabinett Riesling (Mosel),Riesling,Germany,92,27.0,Anna Lee C. Iijima
535,Maximin Grünhäuser 2015 Trocken Riesling (Mosel),Riesling,Germany,91,22.0,Anna Lee C. Iijima
593,Landhaus Mayer 2016 Riesling (Niederösterreich),Riesling,Austria,89,16.0,Anne Krebiehl MW
597,Malat 2016 Furth-Palt Riesling (Kremstal),Riesling,Austria,89,24.0,Anne Krebiehl MW
632,Jean-Marc Bernhard 2013 Wineck-Schlossberg Grand Cru Riesling (Alsace),Riesling,France,92,34.0,Anne Krebiehl MW
638,Domaines Schlumberger 2010 Kitterlé Grand Cru Riesling (Alsace),Riesling,France,92,36.0,Anne Krebiehl MW
648,Reichsgraf von Kesselstatt 2014 Brauneberger Juffer-Sonnenuhr Spätlese Grosse Lage Riesling (Mosel),Riesling,Germany,92,34.0,Anna Lee C. Iijima
651,Kuentz-Bas 2014 Pfersigberg Grand Cru Riesling (Alsace),Riesling,France,92,39.0,Anne Krebiehl MW
652,Plantagenet 2014 Riesling (Great Southern),Riesling,Australia,92,21.0,Joe Czerwinski
654,Sipp Mack 2014 Rosacker Grand Cru Riesling (Alsace),Riesling,France,92,43.0,Anne Krebiehl MW
666,Poet's Leap 2014 Riesling (Columbia Valley (WA)),Riesling,US,90,20.0,Sean P. Sullivan
668,Raphael 2014 Virgin Berry Riesling (North Fork of Long Island),Riesling,US,90,26.0,Anna Lee C. Iijima
672,The Grapes of Roth 2014 Dry Riesling (Long Island),Riesling,US,90,26.0,Anna Lee C. Iijima
749,Cave de Beblenheim 2009 Baron de Hoen Riesling (Alsace),Riesling,France,87,12.0,Roger Voss
789,Von Schleinitz 2015 Apollo Dry Riesling (Mosel),Riesling,Germany,90,29.0,Anna Lee C. Iijima
805,Firesteed 2012 Riesling (Oregon),Riesling,US,90,15.0,Paul Gregutt
839,Lamoreaux Landing 2013 Yellow Dog Vineyard Riesling (Finger Lakes),Riesling,US,86,20.0,Anna Lee C. Iijima
853,Dr. H. Thanisch (Erben Thanisch) 2014 Thanisch Kabinett Riesling (Mosel),Riesling,Germany,90,30.0,Anna Lee C. Iijima
903,Bex 2014 Riesling (Nahe),Riesling,Germany,87,10.0,Anna Lee C. Iijima
999,Amity 2006 Riesling (Willamette Valley),Riesling,US,88,17.0,Paul Gregutt
1080,Trisaetum 2016 Ribbon Ridge Estate Riesling (Ribbon Ridge),Riesling,US,94,32.0,Paul Gregutt
1081,Trisaetum 2016 Wichmann Dundee Estate Riesling (Dundee Hills),Riesling,US,94,32.0,Paul Gregutt
1086,Trisaetum 2016 Coast Range Dry Riesling,Riesling,US,94,32.0,Paul Gregutt
1122,Three Brothers 2014 Zero Degree Dry Riesling (Seneca Lake),Riesling,US,84,16.0,Anna Lee C. Iijima
1171,Louis Guntrum 2006 Niersteiner Bergkirche Kabinett Riesling (Rheinhessen),Riesling,Germany,86,20.0,Joe Czerwinski
1200,Blue Fish 2015 Original Riesling (Pfalz),Riesling,Germany,87,10.0,Anna Lee C. Iijima
1251,Leo 2007 X-treme Riesling (Pfalz),Riesling,Germany,88,22.0,Joe Czerwinski
1263,Hosmer 2010 Riesling (Cayuga Lake),Riesling,US,85,13.0,Anna Lee C. Iijima
1266,Black Star Farms 2010 Arcturos Riesling (Michigan),Riesling,US,85,16.0,Anna Lee C. Iijima
1282,Brotherhood 2010 Riesling (New York),Riesling,US,84,10.0,Anna Lee C. Iijima
1289,Gustav Adolf Schmitt 2012 Niersteiner Auflangen Spätlese Riesling (Rheinhessen),Riesling,Germany,89,13.0,Anna Lee C. Iijima
1303,Domdechant Werner 2013 Hochheimer Hölle Kabinett Trocken Riesling (Rheingau),Riesling,Germany,89,28.0,Anna Lee C. Iijima
1304,Dr. Fischer 2013 Ockfener Bockstein Kabinett Riesling (Mosel),Riesling,Germany,89,20.0,Anna Lee C. Iijima
1348,14 Hands 2010 Riesling (Washington),Riesling,US,86,10.0,Paul Gregutt
1385,S.A. Prüm 2014 Essence Riesling (Mosel),Riesling,Germany,88,14.0,Anna Lee C. Iijima
1398,C. von Nell-Breuning 2014 Kaseler Dominikaner Riesling (Mosel),Riesling,Germany,88,16.0,Anna Lee C. Iijima
1410,Peter Mertes 2014 Platinum Riesling (Mosel),Riesling,Germany,88,9.0,Anna Lee C. Iijima
1457,Fritz Haag 2015 Brauneberg Juffer Sonnenuhr Trocken GG Riesling (Mosel),Riesling,Germany,94,56.0,Anna Lee C. Iijima
1481,Fetzer 2006 Valley Oaks Riesling (California),Riesling,US,85,9.0,
1505,Bründlmayer 2011 Steinmassel Erste Lage Riesling (Kamptal),Riesling,Austria,92,,Roger Voss
1591,Château Frank NV Célèbre Crémant Riesling (Finger Lakes),Riesling,US,88,21.0,Anna Lee C. Iijima
1602,Dowsett Family 2014 Aunt Diane's Vineyard Riesling (Columbia Gorge (WA)),Riesling,US,88,16.0,Sean P. Sullivan
1606,Paumanok 2014 Semi Dry Riesling (North Fork of Long Island),Riesling,US,87,20.0,Anna Lee C. Iijima
1752,Washington Hills 2014 Late Harvest Riesling (Washington),Riesling,US,84,10.0,Sean P. Sullivan
1761,Silver Thread 2014 Randolph O'Neill Vineyard Riesling (Cayuga Lake),Riesling,US,84,25.0,Anna Lee C. Iijima
1763,Ventosa 2013 Riesling (Seneca Lake),Riesling,US,84,20.0,Anna Lee C. Iijima
1786,Koenig Vineyards 2011 Ice Wine Riesling,Riesling,US,91,20.0,Sean P. Sullivan
1836,Good Harbor 2011 Dry Riesling (Leelanau Peninsula),Riesling,US,84,19.0,Alexander Peartree
1913,AntoLin Cellars 2011 Estate Riesling (Yakima Valley),Riesling,US,87,14.0,Paul Gregutt
1990,Wunsch & Mann 2012 Roi Clovis Riesling (Alsace),Riesling,France,85,25.0,Roger Voss
2049,Zull 2006 Beerenauslese 375ml Riesling (Niederösterreich),Riesling,Austria,92,40.0,Roger Voss
2050,Zull 2008 Eiswein 375ml Riesling (Niederösterreich),Riesling,Austria,92,40.0,Roger Voss
2117,Gård 2010 Lawrence Vineyards Dry Riesling (Columbia Valley (WA)),Riesling,US,88,20.0,Paul Gregutt
