,wine,variety,country,points,price,taster,twitter handle
61,Podere dal Nespoli 2015 Prugneto Sangiovese (Romagna),Sangiovese,Italy,86,17.0,Kerin O’Keefe,@kerinokeefe
98,Serpaia di Endrizzi 2010 Dono Riserva  (Morellino di Scansano),Sangiovese,Italy,88,30.0,Kerin O’Keefe,@kerinokeefe
158,Castello di Gabbiano 2012 Bellezza Gran Selezione  (Chianti Classico),Sangiovese,Italy,91,38.0,Kerin O’Keefe,@kerinokeefe
159,Castello Romitorio 2011 Filo di Seta  (Brunello di Montalcino),Sangiovese,Italy,91,,Kerin O’Keefe,@kerinokeefe
177,Isole e Olena 2005  Chianti Classico,Sangiovese,Italy,88,22.0,,
194,Campomaggio 2005  Chianti Classico,Sangiovese,Italy,87,,,
200,Tenuta di Sesta 2011 Riserva  (Brunello di Montalcino),Sangiovese,Italy,90,,Kerin O’Keefe,@kerinokeefe
216,Podere Scopetone 2012  Brunello di Montalcino,Sangiovese,Italy,90,57.0,Kerin O’Keefe,@kerinokeefe
222,Talenti 2011 Trentennale  (Brunello di Montalcino),Sangiovese,Italy,90,,Kerin O’Keefe,@kerinokeefe
241,Falcor 2005 Sangiovese (Napa Valley),Sangiovese,US,85,34.0,,
300,Benessere 2007 Estate Sangiovese (Napa Valley),Sangiovese,US,87,28.0,,
375,Valiano 1997 Vino in Musica Sangiovese (Toscana),Sangiovese,Italy,88,40.0,,
451,Montemercurio 2007 Messaggero  (Vino Nobile di Montepulciano),Sangiovese,Italy,92,35.0,Kerin O’Keefe,@kerinokeefe
492,Zerba Cellars 2008 Sangiovese (Walla Walla Valley (WA)),Sangiovese,US,87,30.0,Paul Gregutt,@paulgwine 
547,Turiya 2011 Stolpman Vineyard Sangiovese (Ballard Canyon),Sangiovese,US,93,150.0,Matt Kettmann,@mattkettmann
598,Midnight 2013 Starlight Sangiovese (Paso Robles),Sangiovese,US,89,36.0,Matt Kettmann,@mattkettmann
740,McPherson 2014 Sangiovese (Texas),Sangiovese,US,85,,Alexander Peartree,
814,Valdicava 2012  Rosso di Montalcino,Sangiovese,Italy,86,,Kerin O’Keefe,@kerinokeefe
822,Ridolfi 2012  Rosso di Montalcino,Sangiovese,Italy,86,20.0,Kerin O’Keefe,@kerinokeefe
825,Tenuta Poggio il Castellare 2009  Brunello di Montalcino,Sangiovese,Italy,86,70.0,Kerin O’Keefe,@kerinokeefe
826,Tenuta San Giorgio 2012 Ciampoleto  (Rosso di Montalcino),Sangiovese,Italy,86,28.0,Kerin O’Keefe,@kerinokeefe
894,Jacopo Biondi-Santi 2008 Castello di Montepò  (Morellino di Scansano),Sangiovese,Italy,90,29.0,,
899,Mazzei 2009 Fonterutoli  (Chianti Classico),Sangiovese,Italy,90,28.0,,
946,Frank Family 2013 Reserve Winston Hill Vineyard Sangiovese (Rutherford),Sangiovese,US,87,65.0,Virginie Boone,@vboone
1114,Citille di Sopra 2012  Rosso di Montalcino,Sangiovese,Italy,90,38.0,Kerin O’Keefe,@kerinokeefe
1237,Agricoltori del Chianti Geografico 2007 Geografico  (Chianti Classico),Sangiovese,Italy,88,16.0,,
1239,Castellare di Castellina 2005 Riserva  (Chianti Classico),Sangiovese,Italy,88,35.0,,
1250,Lamole di Lamole 2005 Riserva  (Chianti Classico),Sangiovese,Italy,88,,,
1452,Le Ragnaie 2012 Fornace  (Brunello di Montalcino),Sangiovese,Italy,94,125.0,Kerin O’Keefe,@kerinokeefe
1462,Le Ragnaie 2012  Brunello di Montalcino,Sangiovese,Italy,93,70.0,Kerin O’Keefe,@kerinokeefe
