,wine,variety,country,points,price,taster,twitter handle
34,Envolve 2011 Sauvignon Blanc (Sonoma Valley),Sauvignon Blanc,US,86,20.0,,
43,Robert Hall 2011 Sauvignon Blanc (Paso Robles),Sauvignon Blanc,US,86,14.0,,
48,Trump 2011 Sauvignon Blanc (Monticello),Sauvignon Blanc,US,86,16.0,,
64,Sevtap 2015 Golden Horn Sauvignon Blanc (Santa Ynez Valley),Sauvignon Blanc,US,86,26.0,Matt Kettmann,@mattkettmann
174,Stoneleigh 2008 Sauvignon Blanc (Marlborough),Sauvignon Blanc,New Zealand,88,19.0,Joe Czerwinski,@JoeCz
246,Long Flat 2006 Destinations Sauvignon Blanc (Adelaide Hills),Sauvignon Blanc,Australia,85,15.0,,
371,Elena Walch 2002 Castel Ringberg Sauvignon Blanc (Alto Adige),Sauvignon Blanc,Italy,88,23.0,Roger Voss,@vossroger
373,Borgo Conventi 2002 I Fiori del Borgo Sauvignon Blanc (Collio),Sauvignon Blanc,Italy,88,15.0,Roger Voss,@vossroger
374,Ceago Vinegarden 2001 Kathleen's Vineyard Sauvignon Blanc (Mendocino County),Sauvignon Blanc,US,88,19.0,,
385,Vinoce 2001 Sauvignon Blanc (Rutherford),Sauvignon Blanc,US,88,18.0,,
387,Murphy-Goode 2000 Reserve Fume Sauvignon Blanc (Alexander Valley),Sauvignon Blanc,US,88,17.0,,
392,Bridlewood 2000 Sauvignon Blanc (Santa Ynez Valley),Sauvignon Blanc,US,87,12.0,,
398,Aresti 2008 Estate Selection Sauvignon Blanc (Curicó Valley),Sauvignon Blanc,Chile,85,13.0,Michael Schachner,@wineschach
430,Ojai 2014 McGinley Vineyard Sauvignon Blanc (Santa Ynez Valley),Sauvignon Blanc,US,89,30.0,Matt Kettmann,@mattkettmann
503,Hanna 2011 Sauvignon Blanc (Russian River Valley),Sauvignon Blanc,US,87,19.0,,
587,Strauss 2016 Classic Sauvignon Blanc (Südsteiermark),Sauvignon Blanc,Austria,89,20.0,Anne Krebiehl MW,@AnneInVino
601,Monte Xanic 2012 Viña Kristel Sauvignon Blanc (Valle de Guadalupe),Sauvignon Blanc,Mexico,87,15.0,Michael Schachner,@wineschach
610,Rodney Strong 2012 Charlotte's Home Estate Sauvignon Blanc (Northern Sonoma),Sauvignon Blanc,US,87,17.0,,
694,Reyneke 2013 Reserve Sauvignon Blanc (Stellenbosch),Sauvignon Blanc,South Africa,91,50.0,Lauren Buzzeo,@laurbuzz
696,Saint Clair 2014 Pioneer Block 20 Dillons Point Cash Block Sauvignon Blanc (Marlborough),Sauvignon Blanc,New Zealand,91,28.0,Joe Czerwinski,@JoeCz
705,Cloudy Bay 2014 Sauvignon Blanc (Marlborough),Sauvignon Blanc,New Zealand,91,28.0,Joe Czerwinski,@JoeCz
711,Dutton Estate 2013 Cohen Vineyard Dutton Ranch Sauvignon Blanc (Russian River Valley),Sauvignon Blanc,US,91,23.0,Virginie Boone,@vboone
751,De Martino 2010 347 Vineyards Sauvignon Blanc (Central Valley),Sauvignon Blanc,Chile,87,13.0,Michael Schachner,@wineschach
815,Finn Hill 2013 Soleil Sauvignon Blanc (Wahluke Slope),Sauvignon Blanc,US,86,18.0,Sean P. Sullivan,@wawinereport
920,Evans & Tate 2015 Breathing Space Sauvignon Blanc (Australia),Sauvignon Blanc,Australia,87,,Joe Czerwinski,@JoeCz
922,Finca Sophenia 2015 Altosur Sauvignon Blanc (Tupungato),Sauvignon Blanc,Argentina,87,12.0,Michael Schachner,@wineschach
924,Sidewood 2014 Sauvignon Blanc (Adelaide Hills),Sauvignon Blanc,Australia,87,18.0,Joe Czerwinski,@JoeCz
957,Carica 2015 Ritchie Vineyard Sauvignon Blanc (Russian River Valley),Sauvignon Blanc,US,87,24.0,Virginie Boone,@vboone
966,Kono 2008 Sauvignon Blanc (Marlborough),Sauvignon Blanc,New Zealand,85,9.0,Joe Czerwinski,@JoeCz
979,Château Lamothe-Vincent 2008 Sauvignon  (Bordeaux Blanc),Sauvignon Blanc,France,85,10.0,Roger Voss,@vossroger
981,Yvon Mau 2007 Premius Bordeaux Sauvignon  (Bordeaux Blanc),Sauvignon Blanc,France,85,10.0,Roger Voss,@vossroger
990,Dancing Bull 2007 Sauvignon Blanc (California),Sauvignon Blanc,US,88,12.0,,
994,Fournier Père et Fils 2006 Les Belles Vignes  (Sancerre),Sauvignon Blanc,France,88,22.0,Roger Voss,@vossroger
1005,Domaine Philippe Portier 2007  Quincy,Sauvignon Blanc,France,88,16.0,Roger Voss,@vossroger
1007,Fournier Père et Fils 2006 Les Caillottes  (Pouilly-Fumé),Sauvignon Blanc,France,88,21.0,Roger Voss,@vossroger
1025,Dragonette 2012 Vogelzang Sauvignon Blanc (Happy Canyon of Santa Barbara),Sauvignon Blanc,US,88,42.0,Matt Kettmann,@mattkettmann
1103,Mercer 2013 Sauvignon Blanc (Yakima Valley),Sauvignon Blanc,US,90,13.0,Paul Gregutt,@paulgwine 
1113,Chateau Ste. Michelle 2013 Horse Heaven Vineyard Sauvignon Blanc (Horse Heaven Hills),Sauvignon Blanc,US,90,15.0,Sean P. Sullivan,@wawinereport
1131,Chasing Venus 2014 Sauvignon Blanc (Marlborough),Sauvignon Blanc,New Zealand,84,16.0,Joe Czerwinski,@JoeCz
1135,Concha y Toro 2015 Reserva Casillero del Diablo Sauvignon Blanc (Chile),Sauvignon Blanc,Chile,84,11.0,Michael Schachner,@wineschach
1182,Beresford 2014 Beacon Hill Sauvignon Blanc (South Australia),Sauvignon Blanc,Australia,88,13.0,Joe Czerwinski,@JoeCz
1214,Aesthete 2016 Dry Stack Vineyard Sauvignon Blanc (Bennett Valley),Sauvignon Blanc,US,93,55.0,Virginie Boone,@vboone
1245,Mulderbosch 2006 Noble Late Harvest Sauvignon Blanc (Stellenbosch),Sauvignon Blanc,South Africa,88,35.0,Susan Kostrzewa,@suskostrzewa
