,wine,variety,country,points,price,taster
0,Nicosia 2013 Vulkà Bianco  (Etna),White Blend,Italy,87,,Kerin O’Keefe
22,Baglio di Pianetto 2007 Ficiligno White (Sicilia),White Blend,Italy,87,19.0,Kerin O’Keefe
26,Stemmari 2013 Dalila White (Terre Siciliane),White Blend,Italy,87,13.0,Kerin O’Keefe
32,Duca di Salaparuta 2011 Calanìca Grillo-Viognier White (Sicilia),White Blend,Italy,86,,
105,Marchesi Antinori 2015 Villa Antinori White (Toscana),White Blend,Italy,87,14.0,Kerin O’Keefe
113,Poggioventoso 2015 Poetico White (Toscana),White Blend,Italy,87,19.0,Kerin O’Keefe
127,Pierre Sparr 2008 Alsace One White (Alsace),White Blend,France,91,13.0,
201,Terlan 2014 Nova Domus Riserva White (Alto Adige),White Blend,Italy,90,62.0,Kerin O’Keefe
208,Delaire Graff 2013 Reserve White (Coastal Region),White Blend,South Africa,90,40.0,Lauren Buzzeo
267,Lungarotti 2007 Torre di Giano Vigna il Pino White (Torgiano),White Blend,Italy,89,40.0,
268,Marchesi Fumanelli 2005 Terso White (Veneto),White Blend,Italy,89,36.0,
274,Pico Maccario 2010 Estrosa White (Monferrato),White Blend,Italy,89,13.0,
308,Domaine Sigalas 2010 Asirtiko Athiri White (Santorini),White Blend,Greece,87,18.0,Susan Kostrzewa
328,Beringer 2007 Alluvium Blanc White (Knights Valley),White Blend,US,86,16.0,
372,Gini 2002 Classico  (Soave),White Blend,Italy,88,10.0,Roger Voss
377,Zenato 2001 Vigneto Massoni White (Naoussa),White Blend,Greece,88,,Roger Voss
379,La Vis 2001 Bianco dei Sorni White (Trentino),White Blend,Italy,88,15.0,Joe Czerwinski
381,Fratelli Zeni 2000 Vigne Alte  (Bianco di Custoza),White Blend,Italy,88,11.0,Joe Czerwinski
389,Cantina Terlano 2002 Terlano Classico White (Alto Adige),White Blend,Italy,88,15.0,Joe Czerwinski
395,Conti Formentini 2001 Rylint White (Collio),White Blend,Italy,87,,Roger Voss
424,Las Positas 2014 Verdigris White (California),White Blend,US,89,30.0,Jim Gordon
487,Marco Cecchini 2010 Tovè White (Colli Orientali del Friuli),White Blend,Italy,87,15.0,
506,Altùris 2011 White (Venezia Giulia),White Blend,Italy,87,12.0,
558,Terre Rouge 2014 Enigma White (Sierra Foothills),White Blend,US,93,25.0,Jim Gordon
580,Raconteur 2016 White (Washington),White Blend,US,89,18.0,Sean P. Sullivan
627,Cascina La Ghersa 2009 Sivoy White (Monferrato),White Blend,Italy,87,19.0,
780,Castello d'Albola 2003  Vin Santo del Chianti Classico,White Blend,Italy,92,50.0,
865,Baglio del Cristo di Campobello 2015 Laluci White (Sicilia),White Blend,Italy,90,,Kerin O’Keefe
873,Chateau Dereszla 2014 Dry  (Tokaji),White Blend,Hungary,90,16.0,Jeff Jenssen
976,Kendall-Jackson 2008 Summation Vintner's Reserve White (California),White Blend,US,85,17.0,
978,X 2008 White X White (North Coast),White Blend,US,85,15.0,
995,Benanti 2006 Edèlmio White (Sicilia),White Blend,Italy,88,26.0,
1023,Dalton 2013 Alma Semillon-Viognier-Pinot Gris White (Galilee),White Blend,Israel,88,25.0,Mike DeSimone
1029,Gorka Izagirre 2013 White (Bizkaiko Txakolina),White Blend,Spain,88,18.0,Michael Schachner
1046,I Clivi 2004 Bianco degli Arzillari White (Colli Orientali del Friuli),White Blend,Italy,85,28.0,
1051,Marqués de Vizhoja 2007 Señor da Folla Verde White (Rías Baixas),White Blend,Spain,85,25.0,Michael Schachner
1119,Domaine de Gensac 2011 Quadrille White (Gers),White Blend,France,90,32.0,Roger Voss
1151,Ports of New York NV Meleau White Specialty Wine White (New York),White Blend,US,83,45.0,Anna Lee C. Iijima
1160,Tsantali 2006 Ambelonas at Agios Pavlos White (Halkidiki),White Blend,Greece,87,13.0,Susan Kostrzewa
1260,Firriato 2010 Santagostino Baglio Sorìa White (Sicilia),White Blend,Italy,85,22.0,
1320,Zahel 2016 White (Wiener Gemischter Satz),White Blend,Austria,90,18.0,Anne Krebiehl MW
1369,Banear 2006 Mamàn White (Delle Venezie),White Blend,Italy,86,,
1405,Martin Ray 2014 The Tower White (Dry Creek Valley),White Blend,US,88,22.0,Virginie Boone
1448,Carlisle 2014 The Derivative White (Sonoma County),White Blend,US,94,28.0,Virginie Boone
1615,Gabriel Meffre 2015 La Châsse Sauvignon-Colombard White (Vin de France),White Blend,France,85,10.0,Roger Voss
1625,The Williamsburg Winery 2015 A Midsummer Night's White White (Virginia),White Blend,US,85,16.0,Carrie Dykes
1665,Amalaya 2015 Esperanza Por Un Milagro White (Salta),White Blend,Argentina,85,12.0,Michael Schachner
1690,Qupé 2010 Bien Nacido Cuvée White (Santa Maria Valley),White Blend,US,90,20.0,
