,Wine,Variety,Country,Points,Price,Taster
0,Nicosia 2013 Vulkà Bianco  (Etna),White Blend,Italy,87,,Kerin O’Keefe
3,St. Julian 2013 Reserve Late Harvest Riesling (Lake Michigan Shore),Riesling,US,87,13.0,Alexander Peartree
14,Mirassou 2012 Chardonnay (Central Coast),Chardonnay,US,87,12.0,Matt Kettmann
15,Richard Böcking 2013 Devon Riesling (Mosel),Riesling,Germany,87,24.0,Anna Lee C. Iijima
22,Baglio di Pianetto 2007 Ficiligno White (Sicilia),White Blend,Italy,87,19.0,Kerin O’Keefe
26,Stemmari 2013 Dalila White (Terre Siciliane),White Blend,Italy,87,13.0,Kerin O’Keefe
32,Duca di Salaparuta 2011 Calanìca Grillo-Viognier White (Sicilia),White Blend,Italy,86,,
34,Envolve 2011 Sauvignon Blanc (Sonoma Valley),Sauvignon Blanc,US,86,20.0,
43,Robert Hall 2011 Sauvignon Blanc (Paso Robles),Sauvignon Blanc,US,86,14.0,
47,The White Knight 2011 Riesling (Lake County),Riesling,US,86,13.0,
48,Trump 2011 Sauvignon Blanc (Monticello),Sauvignon Blanc,US,86,16.0,
55,RustRidge 2010 Estate Bottled Chardonnay (Napa Valley),Chardonnay,US,85,30.0,
56,Souverain 2010 Chardonnay (North Coast),Chardonnay,US,85,14.0,Virginie Boone
64,Sevtap 2015 Golden Horn Sauvignon Blanc (Santa Ynez Valley),Sauvignon Blanc,US,86,26.0,Matt Kettmann
65,Simonnet-Febvre 2015  Chablis,Chardonnay,France,86,24.0,Roger Voss
66,Vignerons des Terres Secrètes 2015  Mâcon-Milly Lamartine,Chardonnay,France,86,15.0,Roger Voss
70,Drumheller 2014 Chardonnay (Columbia Valley (WA)),Chardonnay,US,86,12.0,Sean P. Sullivan
76,Schmitt Söhne 2015 Riesling (Rheinhessen),Riesling,Germany,86,9.0,Anna Lee C. Iijima
77,Yalumba 2016 Made With Organic Grapes Chardonnay (South Australia),Chardonnay,Australia,86,18.0,Joe Czerwinski
85,P.J. Valckenberg 2015 Undone Dry Riesling (Rheinhessen),Riesling,Germany,86,10.0,Anna Lee C. Iijima
97,Heron Hill 2015 Ingle Vineyard Riesling (Finger Lakes),Riesling,US,88,20.0,Anna Lee C. Iijima
101,Lamoreaux Landing 2014 Red Oak Vineyard Riesling (Finger Lakes),Riesling,US,87,20.0,Anna Lee C. Iijima
102,Lamoreaux Landing 2014 Yellow Dog Vineyard Riesling (Finger Lakes),Riesling,US,87,20.0,Anna Lee C. Iijima
103,Leyda 2015 Single Vineyard Falaris Hill Chardonnay (Leyda Valley),Chardonnay,Chile,87,18.0,Michael Schachner
105,Marchesi Antinori 2015 Villa Antinori White (Toscana),White Blend,Italy,87,14.0,Kerin O’Keefe
113,Poggioventoso 2015 Poetico White (Toscana),White Blend,Italy,87,19.0,Kerin O’Keefe
115,Pull 2013 Chardonnay (Paso Robles),Chardonnay,US,87,18.0,Matt Kettmann
119,Dopff & Irion 2004 Schoenenbourg Grand Cru Vendanges Tardives Riesling (Alsace),Riesling,France,92,80.0,
121,Matrix 2007 Stuhlmuller Vineyard Chardonnay (Alexander Valley),Chardonnay,US,92,36.0,
127,Pierre Sparr 2008 Alsace One White (Alsace),White Blend,France,91,13.0,
142,Banyan 2007 Riesling (Santa Lucia Highlands),Riesling,US,90,17.0,
148,Weingut Liebfrauenstift 2014 Dry Riesling (Rheinhessen),Riesling,Germany,91,16.0,Anna Lee C. Iijima
156,Carl Graff 2014 Graacher Himmelreich Spätlese Riesling (Mosel),Riesling,Germany,91,14.0,Anna Lee C. Iijima
162,Claiborne & Churchill 2014 Claiborne Vineyard Riesling (Edna Valley),Riesling,US,91,28.0,Matt Kettmann
170,Fritz Haag 2014 Brauneberger Feinherb Riesling (Mosel),Riesling,Germany,91,30.0,Anna Lee C. Iijima
171,Fritz Haag 2014 Riesling (Mosel),Riesling,Germany,91,22.0,Anna Lee C. Iijima
174,Stoneleigh 2008 Sauvignon Blanc (Marlborough),Sauvignon Blanc,New Zealand,88,19.0,Joe Czerwinski
179,La Chablisienne 2006 Les Vénérables Vieilles Vignes  (Chablis),Chardonnay,France,88,27.0,Roger Voss
180,Manzoni 2006 Lucia Highland Vineyard Chardonnay (Santa Lucia Highlands),Chardonnay,US,88,23.0,
184,Anaba 2007 Chardonnay (Sonoma Coast),Chardonnay,US,88,35.0,
189,Emiliana 2008 Natura Chardonnay (Casablanca Valley),Chardonnay,Chile,87,11.0,Michael Schachner
193,Bertrand Ambroise 2006  St.-Romain,Chardonnay,France,87,35.0,Roger Voss
201,Terlan 2014 Nova Domus Riserva White (Alto Adige),White Blend,Italy,90,62.0,Kerin O’Keefe
205,J. Lohr 2015 October Night Chardonnay (Arroyo Seco),Chardonnay,US,90,25.0,Matt Kettmann
208,Delaire Graff 2013 Reserve White (Coastal Region),White Blend,South Africa,90,40.0,Lauren Buzzeo
210,Eikendal 2014 Chardonnay (Western Cape),Chardonnay,South Africa,90,20.0,Lauren Buzzeo
220,Sixteen by Twenty 2014 Chardonnay (Sonoma Coast),Chardonnay,US,90,40.0,Virginie Boone
225,Oldenburg 2013 Chardonnay (Stellenbosch),Chardonnay,South Africa,90,25.0,Lauren Buzzeo
228,Treleaven 2006 Semi-Dry Riesling (Cayuga Lake),Riesling,US,85,14.0,
242,Hayman & Hill 2007 Reserve Selection Chardonnay (Russian River Valley),Chardonnay,US,85,15.0,
243,Hermann J. Wiemer 2002 Blanc de Blanc Chardonnay (Finger Lakes),Chardonnay,US,85,30.0,
245,Finca Las Moras 2007 Reserve Chardonnay (San Juan),Chardonnay,Argentina,85,12.0,Michael Schachner
246,Long Flat 2006 Destinations Sauvignon Blanc (Adelaide Hills),Sauvignon Blanc,Australia,85,15.0,
265,Jardin 2009 Nine Yards Chardonnay (Stellenbosch),Chardonnay,South Africa,89,40.0,Lauren Buzzeo
267,Lungarotti 2007 Torre di Giano Vigna il Pino White (Torgiano),White Blend,Italy,89,40.0,
268,Marchesi Fumanelli 2005 Terso White (Veneto),White Blend,Italy,89,36.0,
274,Pico Maccario 2010 Estrosa White (Monferrato),White Blend,Italy,89,13.0,
285,Salomon-Undhof 2011 Steiner Kögl Erste Lage Riesling (Kremstal),Riesling,Austria,92,,Roger Voss
301,Buried Cane 2009 Whiteline No Oak Chardonnay (Columbia Valley (WA)),Chardonnay,US,87,14.0,Paul Gregutt
306,Cramele Recas 2009 Chardonnay (Recas),Chardonnay,Romania,87,7.0,Anna Lee C. Iijima
308,Domaine Sigalas 2010 Asirtiko Athiri White (Santorini),White Blend,Greece,87,18.0,Susan Kostrzewa
327,De Martino 2007 Legado Reserva Chardonnay (Limarí Valley),Chardonnay,Chile,86,18.0,Michael Schachner
328,Beringer 2007 Alluvium Blanc White (Knights Valley),White Blend,US,86,16.0,
344,Viña Tarapacá 2015 Gran Reserva Chardonnay (Leyda Valley),Chardonnay,Chile,80,19.0,Michael Schachner
347,Robert Weil 2014 Kiedrich Gräfenberg Trockenbeerenauslese Riesling (Rheingau),Riesling,Germany,97,775.0,Anna Lee C. Iijima
352,Rochioli 2014 South River Chardonnay (Russian River Valley),Chardonnay,US,96,68.0,Virginie Boone
353,Louis Latour 2014 Le Montrachet  (Montrachet),Chardonnay,France,96,630.0,Roger Voss
354,Robert Weil 2014 Kiedrich Gräfenberg Beerenauslese Riesling (Rheingau),Riesling,Germany,96,365.0,Anna Lee C. Iijima
355,Rochioli 2014 Sweetwater Chardonnay (Russian River Valley),Chardonnay,US,96,68.0,Virginie Boone
358,Weingut Hans Bausch 2011 Hattenheimer Hassel Auslese Riesling (Rheingau),Riesling,Germany,95,66.0,Anna Lee C. Iijima
359,Philippe Colin 2014 Les Chenevottes Premier Cru  (Chassagne-Montrachet),Chardonnay,France,95,110.0,Roger Voss
363,Louis Latour 2014  Criots-Bâtard-Montrachet,Chardonnay,France,95,380.0,Roger Voss
369,Ronco del Gelso 1999 Chardonnay (Friuli),Chardonnay,Italy,88,21.0,Joe Czerwinski
371,Elena Walch 2002 Castel Ringberg Sauvignon Blanc (Alto Adige),Sauvignon Blanc,Italy,88,23.0,Roger Voss
372,Gini 2002 Classico  (Soave),White Blend,Italy,88,10.0,Roger Voss
373,Borgo Conventi 2002 I Fiori del Borgo Sauvignon Blanc (Collio),Sauvignon Blanc,Italy,88,15.0,Roger Voss
374,Ceago Vinegarden 2001 Kathleen's Vineyard Sauvignon Blanc (Mendocino County),Sauvignon Blanc,US,88,19.0,
377,Zenato 2001 Vigneto Massoni White (Naoussa),White Blend,Greece,88,,Roger Voss
379,La Vis 2001 Bianco dei Sorni White (Trentino),White Blend,Italy,88,15.0,Joe Czerwinski
381,Fratelli Zeni 2000 Vigne Alte  (Bianco di Custoza),White Blend,Italy,88,11.0,Joe Czerwinski
383,Tommasi 2001 Vigneto Santa Cecilia Chardonnay (Valdadige),Chardonnay,Italy,88,9.0,Joe Czerwinski
385,Vinoce 2001 Sauvignon Blanc (Rutherford),Sauvignon Blanc,US,88,18.0,
387,Murphy-Goode 2000 Reserve Fume Sauvignon Blanc (Alexander Valley),Sauvignon Blanc,US,88,17.0,
389,Cantina Terlano 2002 Terlano Classico White (Alto Adige),White Blend,Italy,88,15.0,Joe Czerwinski
391,Valdivieso 2001 Reserve Chardonnay (Central Valley),Chardonnay,Chile,88,14.0,Michael Schachner
392,Bridlewood 2000 Sauvignon Blanc (Santa Ynez Valley),Sauvignon Blanc,US,87,12.0,
393,San Pedro 2002 Castillo de Molina Reserva Chardonnay (Lontué Valley),Chardonnay,Chile,87,11.0,Michael Schachner
395,Conti Formentini 2001 Rylint White (Collio),White Blend,Italy,87,,Roger Voss
398,Aresti 2008 Estate Selection Sauvignon Blanc (Curicó Valley),Sauvignon Blanc,Chile,85,13.0,Michael Schachner
407,Lapostolle 2007 Casa Chardonnay (Casablanca Valley),Chardonnay,Chile,85,14.0,Michael Schachner
415,Red Newt Cellars 2007 Riesling (Finger Lakes),Riesling,US,85,14.0,Susan Kostrzewa
424,Las Positas 2014 Verdigris White (California),White Blend,US,89,30.0,Jim Gordon
430,Ojai 2014 McGinley Vineyard Sauvignon Blanc (Santa Ynez Valley),Sauvignon Blanc,US,89,30.0,Matt Kettmann
432,Pomum 2014 Upland Vineyard Riesling (Snipes Mountain),Riesling,US,89,16.0,Sean P. Sullivan
449,Majolini 2006 Pas Dosé Aligi Sassu Chardonnay (Franciacorta),Chardonnay,Italy,92,39.0,Kerin O’Keefe
452,Patrick Javillier 2011 Les Tillets  (Meursault),Chardonnay,France,92,,Roger Voss
455,Robert Mondavi 2011 Reserve Chardonnay (Carneros),Chardonnay,US,92,40.0,
462,Henri de Villamont 2010 Blagny Premier Cru  (Meursault),Chardonnay,France,92,66.0,Roger Voss
464,Wittmann 2011 Westhofen Morstein GG Trocken Riesling (Rheinhessen),Riesling,Germany,92,115.0,Anna Lee C. Iijima
466,Deutz 2007 Blanc de Blancs Brut Chardonnay (Champagne),Chardonnay,France,92,,Roger Voss
468,Dr. Loosen 2011 Ürziger Würzgarten Alte Reben GG Trocken Riesling (Mosel),Riesling,Germany,92,42.0,Anna Lee C. Iijima
469,Dr. Loosen 2011 Wehlener Sonnenuhr Kabinett Riesling (Mosel),Riesling,Germany,92,27.0,Anna Lee C. Iijima
487,Marco Cecchini 2010 Tovè White (Colli Orientali del Friuli),White Blend,Italy,87,15.0,
494,Knapp 2011 Chardonnay (Finger Lakes),Chardonnay,US,87,12.0,Anna Lee C. Iijima
495,Lava Cap 2010 Battonage Chardonnay (El Dorado),Chardonnay,US,87,18.0,Virginie Boone
503,Hanna 2011 Sauvignon Blanc (Russian River Valley),Sauvignon Blanc,US,87,19.0,
506,Altùris 2011 White (Venezia Giulia),White Blend,Italy,87,12.0,
510,Big Basin 2014 Coastview Vineyard Chardonnay (Monterey County),Chardonnay,US,91,48.0,Matt Kettmann
525,Testarossa 2015 Rincon Vineyard Chardonnay (Arroyo Grande Valley),Chardonnay,US,91,49.0,Matt Kettmann
535,Maximin Grünhäuser 2015 Trocken Riesling (Mosel),Riesling,Germany,91,22.0,Anna Lee C. Iijima
546,Lutum 2014 Gap's Crown Vineyard Chardonnay (Sonoma Coast),Chardonnay,US,93,50.0,Virginie Boone
550,Artesa 2014 Estate Reserve Chardonnay (Carneros),Chardonnay,US,93,35.0,Virginie Boone
558,Terre Rouge 2014 Enigma White (Sierra Foothills),White Blend,US,93,25.0,Jim Gordon
569,Alleromb 2014 La Reyna Blanca Vineyard Chardonnay (Columbia Valley (WA)),Chardonnay,US,89,38.0,Sean P. Sullivan
580,Raconteur 2016 White (Washington),White Blend,US,89,18.0,Sean P. Sullivan
585,Stevens 2016 StevensSteel Chardonnay (Yakima Valley),Chardonnay,US,89,25.0,Sean P. Sullivan
587,Strauss 2016 Classic Sauvignon Blanc (Südsteiermark),Sauvignon Blanc,Austria,89,20.0,Anne Krebiehl MW
588,Trinity River 2015 Chardonnay,Chardonnay,US,89,18.0,Jim Gordon
590,Vintage Cowboy 2016 Chardonnay (Paso Robles),Chardonnay,US,89,17.0,Matt Kettmann
593,Landhaus Mayer 2016 Riesling (Niederösterreich),Riesling,Austria,89,16.0,Anne Krebiehl MW
597,Malat 2016 Furth-Palt Riesling (Kremstal),Riesling,Austria,89,24.0,Anne Krebiehl MW
601,Monte Xanic 2012 Viña Kristel Sauvignon Blanc (Valle de Guadalupe),Sauvignon Blanc,Mexico,87,15.0,Michael Schachner
610,Rodney Strong 2012 Charlotte's Home Estate Sauvignon Blanc (Northern Sonoma),Sauvignon Blanc,US,87,17.0,
616,B Cellars 2011 Dutton Ranch Chardonnay (Russian River Valley),Chardonnay,US,87,45.0,
619,Borgo Maragliano NV Brut Chardonnay (Piedmont),Chardonnay,Italy,87,16.0,
627,Cascina La Ghersa 2009 Sivoy White (Monferrato),White Blend,Italy,87,19.0,
632,Jean-Marc Bernhard 2013 Wineck-Schlossberg Grand Cru Riesling (Alsace),Riesling,France,92,34.0,Anne Krebiehl MW
638,Domaines Schlumberger 2010 Kitterlé Grand Cru Riesling (Alsace),Riesling,France,92,36.0,Anne Krebiehl MW
640,Foxen 2014 Tinaquaic Vineyard Chardonnay (Santa Maria Valley),Chardonnay,US,92,37.0,Matt Kettmann
643,Melhill 2012 Chardonnay (Sonoma Coast),Chardonnay,US,92,60.0,Virginie Boone
648,Reichsgraf von Kesselstatt 2014 Brauneberger Juffer-Sonnenuhr Spätlese Grosse Lage Riesling (Mosel),Riesling,Germany,92,34.0,Anna Lee C. Iijima
651,Kuentz-Bas 2014 Pfersigberg Grand Cru Riesling (Alsace),Riesling,France,92,39.0,Anne Krebiehl MW
652,Plantagenet 2014 Riesling (Great Southern),Riesling,Australia,92,21.0,Joe Czerwinski
654,Sipp Mack 2014 Rosacker Grand Cru Riesling (Alsace),Riesling,France,92,43.0,Anne Krebiehl MW
658,Vine Cliff 2013 Chardonnay (Los Carneros),Chardonnay,US,90,40.0,Virginie Boone
666,Poet's Leap 2014 Riesling (Columbia Valley (WA)),Riesling,US,90,20.0,Sean P. Sullivan
668,Raphael 2014 Virgin Berry Riesling (North Fork of Long Island),Riesling,US,90,26.0,Anna Lee C. Iijima
672,The Grapes of Roth 2014 Dry Riesling (Long Island),Riesling,US,90,26.0,Anna Lee C. Iijima
676,Array 2012 Dijon Clone Chardonnay (Yakima Valley),Chardonnay,US,90,32.0,Sean P. Sullivan
687,Cooper-Garrod 2012 Gravel Ridge Vineyard Chardonnay (Santa Cruz Mountains),Chardonnay,US,90,29.0,Matt Kettmann
694,Reyneke 2013 Reserve Sauvignon Blanc (Stellenbosch),Sauvignon Blanc,South Africa,91,50.0,Lauren Buzzeo
696,Saint Clair 2014 Pioneer Block 20 Dillons Point Cash Block Sauvignon Blanc (Marlborough),Sauvignon Blanc,New Zealand,91,28.0,Joe Czerwinski
705,Cloudy Bay 2014 Sauvignon Blanc (Marlborough),Sauvignon Blanc,New Zealand,91,28.0,Joe Czerwinski
711,Dutton Estate 2013 Cohen Vineyard Dutton Ranch Sauvignon Blanc (Russian River Valley),Sauvignon Blanc,US,91,23.0,Virginie Boone
719,Cave de Viré 2015 Grande Réserve du Président  (Mâcon-Villages),Chardonnay,France,85,15.0,Roger Voss
731,Kiwi Cuvée 2014 Bin 068 Chardonnay (Vin de France),Chardonnay,France,85,10.0,Lauren Buzzeo
742,Paul Reitz 2014  Saint-Véran,Chardonnay,France,85,20.0,Roger Voss
749,Cave de Beblenheim 2009 Baron de Hoen Riesling (Alsace),Riesling,France,87,12.0,Roger Voss
751,De Martino 2010 347 Vineyards Sauvignon Blanc (Central Valley),Sauvignon Blanc,Chile,87,13.0,Michael Schachner
753,Center of Effort 2008 Effort Chardonnay (Edna Valley),Chardonnay,US,87,22.0,
770,G. H. Mumm NV Mumm de Cramant Blanc de Blancs Chardonnay (Champagne),Chardonnay,France,92,62.0,Roger Voss
772,Jean Milan NV Grande Réserve Blanc de Blancs Grand Cru Brut Chardonnay (Champagne),Chardonnay,France,92,66.0,Roger Voss
776,Pierre Gimonnet et Fils 2005 Oenophile Premier Cru Blanc de Blancs Extra Brut Chardonnay (Champagne),Chardonnay,France,92,72.0,Roger Voss
780,Castello d'Albola 2003  Vin Santo del Chianti Classico,White Blend,Italy,92,50.0,
781,Ferrari 2001 Giulio Ferrari Riserva del Fondatore Chardonnay (Trento),Chardonnay,Italy,92,85.0,
788,Viña Cobos 2015 Bramare Marchiori Vineyard Chardonnay (Perdriel),Chardonnay,Argentina,90,46.0,Michael Schachner
789,Von Schleinitz 2015 Apollo Dry Riesling (Mosel),Riesling,Germany,90,29.0,Anna Lee C. Iijima
804,Efeste 2014 Lola Evergreen Vineyard Chardonnay (Ancient Lakes),Chardonnay,US,90,35.0,Sean P. Sullivan
805,Firesteed 2012 Riesling (Oregon),Riesling,US,90,15.0,Paul Gregutt
806,Iron Hub 2014 Small Lot Chardonnay (Sierra Foothills),Chardonnay,US,90,27.0,Jim Gordon
807,Kooyong 2013 Farrago Chardonnay (Mornington Peninsula),Chardonnay,Australia,90,66.0,Joe Czerwinski
815,Finn Hill 2013 Soleil Sauvignon Blanc (Wahluke Slope),Sauvignon Blanc,US,86,18.0,Sean P. Sullivan
830,Domaine de Thulon 2013  Beaujolais-Villages,Chardonnay,France,86,15.0,Roger Voss
839,Lamoreaux Landing 2013 Yellow Dog Vineyard Riesling (Finger Lakes),Riesling,US,86,20.0,Anna Lee C. Iijima
841,Leaping Horse 2013 Chardonnay (California),Chardonnay,US,86,10.0,Jim Gordon
850,Domaine Jacques Prieur 2014 Grèves Premier Cru  (Beaune),Chardonnay,France,90,117.0,Roger Voss
853,Dr. H. Thanisch (Erben Thanisch) 2014 Thanisch Kabinett Riesling (Mosel),Riesling,Germany,90,30.0,Anna Lee C. Iijima
855,Edna Valley Vineyard 2013 Reserve Chardonnay (Edna Valley),Chardonnay,US,90,35.0,Matt Kettmann
865,Baglio del Cristo di Campobello 2015 Laluci White (Sicilia),White Blend,Italy,90,,Kerin O’Keefe
873,Chateau Dereszla 2014 Dry  (Tokaji),White Blend,Hungary,90,16.0,Jeff Jenssen
903,Bex 2014 Riesling (Nahe),Riesling,Germany,87,10.0,Anna Lee C. Iijima
920,Evans & Tate 2015 Breathing Space Sauvignon Blanc (Australia),Sauvignon Blanc,Australia,87,,Joe Czerwinski
922,Finca Sophenia 2015 Altosur Sauvignon Blanc (Tupungato),Sauvignon Blanc,Argentina,87,12.0,Michael Schachner
924,Sidewood 2014 Sauvignon Blanc (Adelaide Hills),Sauvignon Blanc,Australia,87,18.0,Joe Czerwinski
936,Chehalem 2013 Ian's Reserve Chardonnay (Willamette Valley),Chardonnay,US,87,40.0,Paul Gregutt
